basket_id,stock_position,symbol,ticker,company_name,sector,basket_avg_pairwise_corr,basket_sector_count
26,4,UPL,UPL.NS,UPL Ltd.,Chemicals,0.26770792156136836,5
26,5,RELIANCE,RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,0.26770792156136836,5
27,1,HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,0.28236628185240015,5
27,2,GAIL,GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,0.28236628185240015,5
27,3,SRF,SRF.NS,SRF Ltd.,Chemicals,0.28236628185240015,5
27,4,HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components,0.28236628185240015,5
27,5,CONCOR,CONCOR.NS,Container Corporation of India Ltd.,Services,0.28236628185240015,5
28,1,KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,0.2814111146958388,5
28,2,IRCTC,IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,0.2814111146958388,5
28,3,NMDC,NMDC.NS,NMDC Ltd.,Metals & Mining,0.2814111146958388,5
28,4,MARUTI,MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components,0.2814111146958388,5
28,5,VOLTAS,VOLTAS.NS,Voltas Ltd.,Consumer Durables,0.2814111146958388,5
29,1,SBILIFE,SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,0.29769021956558267,5
29,2,ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,0.29769021956558267,5
29,3,BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,0.29769021956558267,5
29,4,MOTHERSON,MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components,0.29769021956558267,5
29,5,GMRAIRPORT,GMRAIRPORT.NS,GMR Airports Ltd.,Services,0.29769021956558267,5
30,1,IRFC,IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services,0.29536333002214865,5
30,2,M&M,M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components,0.29536333002214865,5
30,3,HINDALCO,HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining,0.29536333002214865,5
30,4,POLYCAB,POLYCAB.NS,Polycab India Ltd.,Capital Goods,0.29536333002214865,5
30,5,IOC,IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,0.29536333002214865,5
31,1,MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,0.31355522829963506,5
31,2,BOSCHLTD,BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,0.31355522829963506,5
31,3,SAIL,SAIL.NS,Steel Authority of India Ltd.,Metals & Mining,0.31355522829963506,5
31,4,GODREJPROP,GODREJPROP.NS,Godrej Properties Ltd.,Realty,0.31355522829963506,5
31,5,AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,0.31355522829963506,5
32,1,MCX,MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services,0.31658926387237385,5
32,2,JINDALSTEL,JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining,0.31658926387237385,5
32,3,MRF,MRF.NS,MRF Ltd.,Automobile and Auto Components,0.31658926387237385,5
32,4,ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,0.31658926387237385,5
32,5,SIEMENS,SIEMENS.NS,Siemens Ltd.,Capital Goods,0.31658926387237385,5
33,1,ICICIGI,ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services,0.33840741059448787,5
33,2,BHEL,BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,0.33840741059448787,5
33,3,BHARATFORG,BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,0.33840741059448787,5
33,4,ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,0.33840741059448787,5
33,5,TATAPOWER,TATAPOWER.NS,Tata Power Co. Ltd.,Power,0.33840741059448787,5
34,1,MFSL,MFSL.NS,Max Financial Services Ltd.,Financial Services,0.3574801749590773,5
34,2,EXIDEIND,EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components,0.3574801749590773,5
34,3,JSWSTEEL,JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining,0.3574801749590773,5
34,4,LT,LT.NS,Larsen & Toubro Ltd.,Construction,0.3574801749590773,5
34,5,DLF,DLF.NS,DLF Ltd.,Realty,0.3574801749590773,5
